Blockno,debtCeiling
13126044,00000000000000000000502ed53dc07790272afdb61a19509130000000000000
13126240,00000000000000000000502ed53dc07790272afdb61a19509130000000000000
13718800,000000000000000000001aba4714957d300d0e549208b31adb10000000000000
14236915,00000000000000000000502ed53dc07790272afdb61a19509130000000000000
14239766,00000000000000000000502ed53dc07790272afdb61a19509130000000000000
19483681,00000000000000000000060383316e6f5e02f0063a75284c714a000000000000
19483684,0000000000000000000002ac3a4edbbfb8014e3ba83411e915e8000000000000
19483687,0000000000000000000002ac3a4edbbfb8014e3ba83411e915e8000000000000
